GEOID,NAME,variable,year_2016,year_2021,pct_points_change
4159000,"Portland city, Oregon",HIPI,0.62,0.54,-0.08
4159000,"Portland city, Oregon",Hispanic,9.67,10.26,0.59
4159000,"Portland city, Oregon",Native,0.50,0.57,0.06
4159000,"Portland city, Oregon",Two_races,5.20,7.99,2.79
4159000,"Portland city, Oregon",White,71.55,68.76,-2.79
4160900,"Raleigh Hills CDP, Oregon",Asian,8.67,7.23,-1.44
4160900,"Raleigh Hills CDP, Oregon",Black,2.48,0.42,-2.06
4160900,"Raleigh Hills CDP, Oregon",HIPI,0.33,0.36,0.03
4160900,"Raleigh Hills CDP, Oregon",Hispanic,2.46,8.49,6.03
4160900,"Raleigh Hills CDP, Oregon",Native,0.00,0.65,0.65
4160900,"Raleigh Hills CDP, Oregon",Two_races,1.85,6.59,4.73
4160900,"Raleigh Hills CDP, Oregon",White,84.47,77.73,-6.74
4161550,"Rhododendron CDP, Oregon",Asian,NA,0.00,NA
4161550,"Rhododendron CDP, Oregon",Black,NA,0.00,NA
4161550,"Rhododendron CDP, Oregon",HIPI,NA,0.00,NA
4161550,"Rhododendron CDP, Oregon",Hispanic,NA,0.00,NA
4161550,"Rhododendron CDP, Oregon",Native,NA,0.00,NA
4161550,"Rhododendron CDP, Oregon",Two_races,NA,0.00,NA
4161550,"Rhododendron CDP, Oregon",White,NA,100.00,NA
4162250,"Rivergrove city, Oregon",Asian,10.50,10.64,0.14
4162250,"Rivergrove city, Oregon",Black,0.00,1.83,1.83
4162250,"Rivergrove city, Oregon",HIPI,0.00,4.04,4.04
4162250,"Rivergrove city, Oregon",Hispanic,6.39,1.47,-4.92
4162250,"Rivergrove city, Oregon",Native,0.91,0.00,-0.91
4162250,"Rivergrove city, Oregon",Two_races,6.16,6.42,0.26
4162250,"Rivergrove city, Oregon",White,76.48,76.51,0.03
4163010,"Rockcreek CDP, Oregon",Asian,8.64,10.24,1.60
4163010,"Rockcreek CDP, Oregon",Black,1.89,0.35,-1.53
4163010,"Rockcreek CDP, Oregon",HIPI,0.00,0.07,0.07
4163010,"Rockcreek CDP, Oregon",Hispanic,12.34,10.91,-1.43
4163010,"Rockcreek CDP, Oregon",Native,0.25,0.42,0.18
4163010,"Rockcreek CDP, Oregon",Two_races,3.66,9.86,6.20
4163010,"Rockcreek CDP, Oregon",White,72.74,75.18,2.44
4165250,"Sandy city, Oregon",Asian,1.19,2.16,0.97
4165250,"Sandy city, Oregon",Black,0.41,0.28,-0.12
4165250,"Sandy city, Oregon",HIPI,0.00,0.00,0.00
4165250,"Sandy city, Oregon",Hispanic,8.07,8.84,0.77
4165250,"Sandy city, Oregon",Native,0.42,0.23,-0.19
4165250,"Sandy city, Oregon",Two_races,2.70,6.70,4.00
4165250,"Sandy city, Oregon",White,87.21,83.53,-3.68
4167100,"Sherwood city, Oregon",Asian,4.42,3.51,-0.91
4167100,"Sherwood city, Oregon",Black,0.08,0.06,-0.03
4167100,"Sherwood city, Oregon",HIPI,0.61,0.19,-0.41
4167100,"Sherwood city, Oregon",Hispanic,7.68,6.30,-1.38
4167100,"Sherwood city, Oregon",Native,0.44,0.30,-0.14
4167100,"Sherwood city, Oregon",Two_races,4.31,10.70,6.40
4167100,"Sherwood city, Oregon",White,82.70,81.88,-0.82
4169800,"Stafford CDP, Oregon",Asian,6.53,0.20,-6.33
4169800,"Stafford CDP, Oregon",Black,0.00,1.70,1.70
4169800,"Stafford CDP, Oregon",HIPI,0.00,0.00,0.00
4169800,"Stafford CDP, Oregon",Hispanic,11.47,0.00,-11.47
4169800,"Stafford CDP, Oregon",Native,0.00,0.00,0.00
4169800,"Stafford CDP, Oregon",Two_races,2.78,3.70,0.93
